1stFlrSF,BsmtFinSF1,BsmtUnfSF,GarageArea,GrLivArea,KitchenQual,LotArea,LotFrontage,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
764,567,197,474,1626,Gd,2268,36.0,27,5,7,764,2003,2004,173000
735,0,735,240,1034,TA,10134,60.0,39,6,5,735,1940,1950,109000
1518,1218,300,588,1518,Ex,12677,62.0,140,5,8,1518,2003,2004,274000
1226,224,816,240,1818,TA,7758,69.0,0,4,7,1040,1931,1950,169500
1661,0,1649,598,1661,Gd,12137,48.0,34,5,7,1649,1998,1998,224900
1096,297,0,432,1991,TA,11275,69.0,0,7,6,854,1932,1950,220000
832,624,26,324,1482,TA,9000,50.0,0,9,7,650,1920,1988,143000
1742,1148,594,564,1742,Gd,6563,69.0,28,5,8,1742,1985,1985,275000
686,0,686,280,1250,Fa,8248,45.0,0,7,5,686,1918,1950,116000
816,0,816,528,1176,TA,6240,52.0,0,6,6,816,1934,1950,114500
927,789,119,506,1915,Gd,10041,80.0,150,5,8,908,1992,1992,220000
1192,388,552,240,1595,TA,8400,60.0,0,5,6,940,1940,2000,140000
1661,831,161,377,1661,Gd,9600,80.0,28,6,6,992,1955,1996,165500
832,544,288,552,1935,TA,8004,75.0,150,5,8,832,2009,2009,263435
1795,0,1777,534,1795,Gd,9742,75.0,159,5,8,1777,2002,2002,230000
847,0,847,434,1928,Gd,8200,65.0,48,5,7,847,2003,2004,219500
1159,673,378,336,1159,TA,11553,69.0,0,5,5,1051,1968,1968,158000
855,311,544,440,1456,TA,2280,24.0,0,5,6,855,1978,1978,146000
1137,341,457,431,1954,Gd,15660,69.0,119,9,7,798,1939,2006,311500
2028,1460,408,880,2028,Gd,11443,88.0,66,5,8,1868,2005,2006,369900
2898,1165,0,665,2898,Gd,15498,69.0,72,6,8,1565,1976,1976,287000
814,533,281,663,1674,Gd,7500,69.0,96,5,7,814,2000,2000,216000
974,212,762,0,974,TA,10712,63.0,28,5,5,974,1991,1992,93500
1091,932,133,586,1989,Gd,11367,90.0,60,5,8,1065,2002,2002,255000
1080,50,499,678,2097,Gd,11228,59.0,187,5,7,1080,1993,1993,228000
1442,0,1424,500,1442,TA,11851,99.0,34,5,7,1424,1990,1990,180500
1130,821,299,720,1130,TA,10800,60.0,0,6,5,1120,1920,1950,120000
1133,329,697,240,1820,TA,9120,60.0,100,6,7,1026,1925,1950,184000
1378,0,689,583,2119,TA,10448,69.0,104,6,6,689,1972,1972,158000
1264,0,1234,666,2576,Ex,12438,82.0,100,5,8,1234,2006,2006,361919
780,0,780,0,1020,TA,6342,54.0,0,8,5,780,1875,1996,94000
1095,0,1095,779,1774,TA,9600,60.0,0,2,4,1095,1900,1950,87000
904,350,333,0,904,Fa,10020,69.0,0,1,1,683,1922,1950,61000
673,641,32,490,1382,Gd,2651,69.0,50,5,7,673,2000,2000,165000
1518,0,1107,840,3608,Ex,22950,90.0,260,9,10,1107,1892,1993,475000
1178,0,1008,205,2210,Fa,9900,90.0,48,4,6,1008,1880,1950,117500
806,0,806,373,1572,TA,10364,69.0,40,5,6,806,1995,1996,168000
1824,1219,424,739,1824,Gd,115149,69.0,48,5,7,1643,1971,2002,302000
1056,775,281,304,1056,TA,8450,65.0,85,6,5,1056,1968,1968,142000
949,392,392,392,1221,TA,9738,60.0,0,7,5,784,1924,1950,104900
1362,288,700,504,1362,TA,10197,80.0,20,5,6,1362,1961,1961,163000
848,697,151,420,848,Gd,4426,69.0,0,5,6,848,2004,2004,141000
1434,20,1434,527,1434,Gd,8529,65.0,39,5,7,1454,2001,2001,189000
1208,664,544,628,1208,Gd,6762,64.0,54,5,7,1208,2007,2007,195400
1096,626,170,566,1466,Gd,10800,60.0,21,8,5,796,1936,1989,170000
1987,1314,672,691,1987,Gd,14303,91.0,36,5,8,1986,1994,1994,301500
1325,1173,138,983,2418,Gd,10542,96.0,154,5,7,1311,1993,1994,341000
1314,904,410,626,1314,Gd,5063,34.0,62,5,7,1314,2007,2008,207500
970,0,970,380,1709,Gd,2522,24.0,40,5,7,970,2004,2004,137500
672,0,672,0,1218,TA,1680,21.0,0,5,6,672,1971,1971,91500
1440,256,1184,0,3395,Fa,10896,60.0,110,7,6,1440,1914,1995,200000
1200,1200,0,0,1200,TA,10800,60.0,0,5,5,1200,1987,1988,179000
912,111,522,297,912,TA,7535,70.0,285,7,5,912,1958,1985,120000
2444,1455,989,832,4316,Ex,21535,104.0,50,6,10,2444,1994,1995,755000
856,706,150,548,1710,Gd,8450,65.0,61,5,7,856,2003,2003,208500
1234,0,1181,656,2374,Ex,11999,93.0,100,5,8,1181,2003,2004,285000
860,275,429,234,1564,Fa,12000,75.0,0,7,7,704,1941,1950,174500
1466,176,1290,528,1466,Fa,17755,134.0,140,4,5,1466,1959,1959,149900
1383,565,818,292,1383,TA,11600,80.0,45,5,6,1383,1960,1960,145250
1535,0,0,410,1535,TA,7018,64.0,0,5,5,0,1979,1979,118964
990,716,274,576,990,TA,13568,43.0,0,5,5,990,1995,1995,156000
918,364,554,240,1646,TA,7128,53.0,0,5,7,918,1941,1950,164000
908,0,1020,440,1928,Fa,9142,69.0,60,8,6,1020,1910,1950,137000
1040,315,114,550,1725,TA,11584,80.0,88,6,7,539,1979,1979,197000
2129,700,983,541,2872,Gd,10678,85.0,33,5,8,1683,1992,2000,285000
1092,500,176,576,2112,TA,11075,85.0,0,5,6,952,1969,1969,206900
757,672,0,240,1324,TA,6000,50.0,0,6,4,672,1936,1950,128000
520,0,600,480,1200,Gd,3180,30.0,166,5,7,600,2005,2005,144152
672,456,216,468,1344,TA,10690,59.0,128,7,5,672,1920,1997,147000
840,0,840,500,1668,Gd,11317,72.0,68,5,7,840,2003,2003,180000
1040,0,0,400,1040,TA,8544,60.0,0,4,3,0,1950,1950,93500
900,234,180,576,900,Gd,7200,60.0,32,7,5,900,1951,2000,134800
1559,338,1221,812,1559,TA,8100,90.0,116,6,5,1559,1948,1973,153500
948,492,372,248,948,TA,10215,75.0,0,5,4,864,1954,1954,111000
923,543,261,264,923,TA,8012,50.0,0,5,6,923,1980,1980,143000
1552,24,1528,782,1552,Gd,10084,84.0,20,5,7,1552,2005,2006,212900
961,216,540,642,1717,Gd,9550,60.0,35,5,7,756,1915,1970,140000
1721,570,891,440,1721,TA,10335,78.0,96,6,5,1461,1968,1993,180000
483,330,153,264,987,TA,1680,21.0,0,5,6,483,1973,1973,100000
1200,334,322,521,1200,Gd,11249,105.0,26,5,6,1200,1995,1995,177500
1148,292,476,281,1716,TA,11409,60.0,0,4,5,768,1949,2008,131000
894,553,224,336,894,TA,8450,65.0,144,8,5,894,1965,2009,138500
1771,0,0,336,1771,TA,21750,100.0,0,4,5,0,1960,2006,115000
1173,885,0,528,1173,Gd,10625,85.0,120,6,7,1053,1974,1974,170000
1287,72,733,576,1287,Gd,9830,69.0,17,7,5,1063,1959,2006,162000
1382,547,504,459,1382,TA,11235,75.0,82,5,4,1051,1963,1979,148000
1214,565,638,721,2520,Gd,9950,82.0,114,5,7,1203,1995,1995,290000
1215,585,630,297,1215,TA,12400,66.0,0,7,6,1215,1958,1998,155000
1203,740,425,844,2526,Gd,10120,92.0,78,5,8,1165,1994,1994,290000
600,0,600,480,1200,Gd,3182,30.0,172,5,7,600,2004,2005,151000
1728,1606,122,560,1728,TA,9297,63.0,0,5,5,1728,1976,1976,188000
902,0,576,480,1710,TA,10300,50.0,11,6,7,576,1921,1950,140000
1407,1074,322,870,2392,Gd,9452,82.0,70,5,8,1396,1997,1998,348000
1014,402,594,457,1744,Gd,9453,69.0,70,7,7,996,1993,2003,194500
822,0,813,562,1665,Gd,8125,65.0,0,6,7,813,2007,2007,205950
1282,984,280,792,2696,Ex,9965,77.0,184,5,7,1264,2007,2007,383970
864,616,248,528,864,TA,9000,60.0,0,6,4,864,1971,1971,120500
672,344,328,234,672,TA,9340,50.0,113,6,4,672,1941,1950,113000
1320,328,285,564,1320,TA,11777,96.0,68,6,5,1164,1966,1966,164500
958,120,958,440,958,TA,4928,69.0,205,5,6,1078,1976,1976,128000
1710,0,1710,550,1710,Gd,12118,43.0,48,5,7,1710,2004,2005,240000
1265,633,586,502,1265,Gd,9350,85.0,92,8,5,1219,1965,1999,179900
1456,0,1273,400,1456,Gd,3196,69.0,20,5,8,1273,2003,2003,215000
1067,0,927,576,1539,TA,6120,51.0,0,6,5,927,1936,1950,141500
1959,0,1907,766,1959,TA,11070,82.0,0,5,7,1907,1988,1989,171000
1008,0,1008,0,1522,TA,6000,60.0,0,5,5,1008,1926,1950,102000
1124,0,0,0,1124,TA,8335,77.0,36,5,5,0,1954,1954,93000
1107,859,216,484,2090,TA,10382,69.0,204,6,7,1107,1973,1973,200000
1214,698,420,461,1214,TA,9170,70.0,0,7,5,1214,1965,1965,140000
1779,306,372,454,1779,TA,17920,102.0,418,4,5,1763,1955,1974,170000
1629,1300,316,808,1629,Gd,14536,85.0,252,5,8,1616,2002,2003,270000
1554,24,1530,627,1554,Gd,4590,34.0,73,5,8,1554,2006,2006,209500
993,0,964,642,2236,Gd,13006,69.0,0,5,7,964,1997,1997,222000
796,0,796,0,796,TA,3636,40.0,0,4,4,796,1922,1950,55000
840,0,840,308,1680,TA,15576,63.0,0,7,6,840,1915,1976,177000
848,686,162,420,848,Gd,4435,37.0,0,5,6,848,2003,2003,136500
1142,874,268,528,1142,TA,4224,44.0,90,5,5,1142,1976,1976,134000
1252,429,93,564,1252,TA,13500,69.0,0,7,6,1602,1960,1975,235000
1684,28,1656,564,1684,Ex,8849,63.0,72,5,9,1684,2005,2005,266000
2000,1464,536,888,2000,Gd,10386,80.0,0,5,8,2000,2004,2005,305900
1616,0,1616,834,1616,Gd,8688,73.0,59,5,7,1616,2005,2005,232000
1299,990,309,531,1872,Ex,11885,69.0,122,5,8,1299,2001,2001,261500
1042,0,1042,225,1576,TA,6240,52.0,0,6,5,1042,1928,1950,149000
1175,421,386,575,1982,Gd,11287,82.0,84,6,7,807,1989,1989,228500
988,534,246,276,988,TA,7200,60.0,80,7,5,876,1950,1950,119000
1844,976,868,620,1844,Gd,10994,88.0,44,5,8,1844,2005,2006,257000
1258,656,602,528,1258,Gd,11040,80.0,0,7,6,1258,1971,2004,145000
1288,786,474,500,1288,Ex,14963,38.0,30,5,8,1260,1996,1996,245500
1634,0,1626,866,1634,Gd,11428,98.0,44,5,8,1626,2006,2006,250000
855,257,103,440,1322,TA,2308,24.0,0,5,6,855,1974,1974,147000
707,0,707,403,1414,Gd,9056,74.0,35,5,8,707,2004,2004,178000
1504,690,814,478,1504,Gd,11883,73.0,66,5,7,1504,1996,1996,203000
1670,0,1670,690,1670,Gd,14859,50.0,60,5,7,1670,2006,2006,240000
1516,125,36,518,2167,Gd,17542,69.0,47,7,7,1192,1974,2003,294000
1069,559,510,440,1069,TA,4043,53.0,55,6,6,1069,1977,1977,140000
1072,547,0,525,1072,TA,3675,35.0,44,5,6,547,2005,2006,140000
1572,1159,413,995,1572,TA,35133,50.0,263,4,5,1572,1963,1963,186700
1188,1088,0,456,1869,TA,8820,98.0,0,6,5,1088,1890,1996,124900
882,0,882,0,882,TA,5500,55.0,0,6,4,882,1956,1956,103200
1922,1249,673,676,1922,Gd,14157,86.0,51,5,9,1922,2005,2006,377426
780,632,148,352,780,TA,7200,60.0,0,7,5,780,1972,1972,124900
1021,0,533,300,1601,TA,13825,85.0,34,6,5,533,1958,1987,140000
1530,1274,256,430,1530,Gd,16158,124.0,36,5,7,1530,2005,2005,260000
833,625,208,0,833,TA,8780,69.0,0,5,5,833,1985,1985,112000
679,331,318,308,1183,TA,6000,50.0,176,7,3,649,1948,2002,120000
1040,659,381,260,1040,TA,6897,69.0,104,8,5,1040,1962,2010,127000
1466,1150,316,1052,2828,Gd,9965,77.0,144,5,8,1466,2006,2007,424870
1032,280,752,288,1252,TA,9600,80.0,0,5,6,1032,1950,1950,119000
1246,340,0,305,1246,Gd,7500,75.0,0,7,5,1246,1959,1994,154000
904,0,884,180,904,TA,6000,50.0,0,7,6,884,1926,2004,119000
966,686,0,416,1652,TA,10800,60.0,0,6,5,686,1915,1950,139000
1036,375,457,288,1268,TA,12144,60.0,28,7,5,832,1949,1950,133000
1172,0,896,342,1913,TA,7558,57.0,0,6,6,896,1928,1950,177000
1358,733,625,484,1358,Gd,6371,44.0,35,5,7,1358,2009,2010,224000
1657,1237,420,484,1657,TA,12155,69.0,0,3,6,1657,1970,1970,163500
838,210,0,275,838,Fa,10267,55.0,0,7,6,816,1918,2000,130000
1022,772,220,390,2060,Gd,8755,69.0,0,5,7,992,1999,1999,214000
764,573,191,474,1626,Gd,2448,36.0,27,5,7,764,2003,2004,154000
663,371,292,299,1352,TA,9364,80.0,36,7,6,663,1969,1969,158000
968,368,359,240,1376,TA,9492,79.0,0,5,5,768,1941,1950,105000
849,326,389,240,1660,TA,11988,74.0,0,7,6,715,1934,1995,188700
616,0,616,432,1412,Gd,8499,73.0,36,5,6,616,2006,2007,156932
756,0,756,216,1469,TA,10320,60.0,0,7,6,756,1906,1995,135000
774,0,384,400,1430,TA,9967,76.0,0,5,7,384,2000,2000,170000
1094,500,594,495,1094,TA,10452,85.0,0,5,6,1094,1953,1953,155000
1826,1422,392,758,1826,Gd,11302,69.0,75,5,8,1814,2005,2006,319000
672,0,672,576,924,TA,8064,60.0,0,7,5,672,1949,2006,122900
1502,368,0,528,1502,Gd,6820,69.0,54,5,8,1488,1985,1985,212000
616,462,154,603,1688,Gd,12798,79.0,114,5,6,616,1997,1997,200000
1262,905,357,572,1262,Gd,7200,60.0,120,5,6,1262,2006,2006,185000
1905,0,1905,788,1905,Ex,11670,84.0,191,5,9,1905,2006,2006,320000
1153,252,901,541,2031,Gd,11404,75.0,84,5,7,1153,1998,1999,222500
1350,0,1064,478,1350,TA,10140,78.0,0,5,6,1064,1974,1974,165000
941,483,458,613,1829,Gd,9548,44.0,39,6,7,941,2003,2003,237000
965,641,187,300,965,TA,7800,60.0,0,5,5,828,1965,1965,119900
672,348,324,280,924,Fa,12180,60.0,0,4,4,672,1941,1950,80000
1055,0,1055,905,2263,Gd,9240,69.0,45,5,8,1055,2001,2002,287000
1236,626,501,540,2108,Gd,13728,120.0,0,7,6,1127,1935,1986,235000
1242,916,326,528,1242,TA,9600,80.0,0,6,7,1242,1973,1973,175500
989,0,884,240,1573,Gd,6120,51.0,0,7,4,884,1935,1995,133000
884,0,884,434,2035,Gd,9505,69.0,48,5,7,884,2001,2001,222500
1232,660,572,516,1232,TA,11120,69.0,0,6,6,1232,1984,1984,162500
1098,403,400,483,1964,TA,10480,80.0,69,6,7,803,1976,1976,205000
792,0,576,0,1140,TA,8800,55.0,160,7,4,576,1910,2004,96500
894,702,192,450,894,Gd,9764,57.0,0,7,5,894,1967,2003,130000
1512,619,435,619,2654,Gd,11029,69.0,65,7,6,1054,1968,1984,250000
768,660,108,396,768,TA,7200,60.0,0,8,5,768,1972,2003,133900
672,0,0,0,912,TA,6240,52.0,0,5,4,0,1947,1950,80500
1040,650,390,504,2080,Fa,11606,70.0,0,5,5,1040,1969,1969,135000
1040,732,308,576,1040,Gd,12464,82.0,0,5,5,1040,1996,1996,152000
1149,370,779,216,1616,Gd,5400,40.0,0,7,6,1149,1926,2004,152000
1047,0,641,273,1047,TA,10800,60.0,0,7,4,641,1885,1995,100000
1803,168,284,484,1803,TA,13125,88.0,0,4,5,1134,1957,2000,155000
832,0,832,528,832,Gd,7227,59.0,0,6,6,832,1954,1954,105500
894,180,340,384,894,TA,7094,99.0,0,5,5,894,1966,1966,125000
596,0,596,189,1192,TA,6402,60.0,0,5,5,596,1920,1950,78000
1850,1261,572,772,1850,Gd,16033,98.0,112,5,9,1833,2004,2005,326000
899,450,414,288,899,Gd,7800,65.0,0,7,5,864,1967,2004,130000
892,340,524,264,892,TA,9477,69.0,0,5,5,864,1966,1966,110000
1260,1046,168,506,2291,TA,7200,60.0,0,6,6,1214,1910,1998,133900
1075,0,849,360,2138,TA,8100,90.0,156,5,5,849,1898,1965,106000
926,0,926,470,1604,TA,10839,100.0,36,5,6,926,1997,1998,181000
887,0,868,422,2021,Gd,23257,168.0,100,5,7,868,2006,2006,274725
938,280,167,308,938,TA,9200,69.0,0,6,5,938,1975,1980,130250
912,0,912,216,1426,Gd,7642,55.0,240,8,7,912,1918,1998,189950
928,220,708,400,1920,TA,11345,95.0,0,5,5,928,1948,1950,137000
1098,902,196,260,1098,TA,7390,69.0,0,7,5,1098,1955,1955,135000
729,0,270,0,729,TA,4130,56.0,0,6,3,270,1935,2003,52000
1252,0,1252,528,1252,Gd,10721,80.0,39,6,6,1252,1959,1959,142000
1584,0,1584,792,1584,TA,8944,65.0,152,5,5,1584,1967,1967,124000
1506,0,1498,592,1506,Ex,14587,75.0,174,5,9,1498,2008,2008,264132
1709,1238,460,506,1709,Gd,5119,50.0,65,5,9,1698,1999,2000,328900
1092,895,197,299,1092,TA,14850,69.0,0,5,5,1092,1957,1957,141000
1746,1320,426,758,1746,Ex,14892,42.0,39,5,9,1746,2006,2007,377500
1304,603,701,667,2287,TA,15593,81.0,21,4,7,1304,1953,1953,225000
789,0,768,200,789,TA,10594,55.0,0,5,5,768,1926,1950,96500
1041,991,50,270,1041,TA,9600,80.0,88,6,5,1041,1959,1959,124500
993,0,967,431,1908,Gd,14191,85.0,0,5,8,967,2002,2002,202900
1010,0,1010,390,2267,Gd,8068,69.0,46,5,6,1010,2002,2002,200000
875,209,506,180,875,TA,6120,51.0,0,7,5,715,1931,1993,105000
1526,383,833,364,1526,TA,8562,68.0,78,6,5,1216,1957,2002,144500
1567,1567,0,714,1567,Gd,9819,69.0,32,5,6,1567,1977,1977,196000
1734,0,1734,1020,2822,Ex,13891,107.0,170,5,9,1734,2008,2009,582933
689,141,548,360,1378,Gd,9600,60.0,0,9,7,689,1928,2005,161000
1281,0,715,368,1738,TA,12513,69.0,0,4,4,715,1920,2007,104900
1164,831,320,521,2060,TA,10029,97.0,228,5,6,1151,1988,1989,211000
1128,812,124,286,1128,TA,9000,75.0,0,5,5,936,1954,1954,118000
840,0,840,440,1720,Gd,8244,62.0,48,5,7,840,2004,2004,183500
1050,504,546,338,1050,TA,9600,80.0,0,6,5,1050,1956,1956,128900
1114,814,300,576,1114,Gd,13695,66.0,78,5,6,1114,2003,2004,155000
1053,567,413,750,1053,Ex,8973,69.0,80,7,5,1008,1958,1991,150000
1593,1153,440,682,1593,Ex,4923,41.0,120,5,8,1593,2001,2002,286000
1214,695,519,318,1214,TA,10355,69.0,111,5,5,1214,1967,1967,143000
816,641,175,264,816,Gd,6600,60.0,0,9,5,816,1982,2008,130500
1535,0,0,400,1535,TA,7018,64.0,0,5,5,0,1979,1979,118858
1360,1036,140,795,3112,Gd,25419,174.0,16,4,8,1360,1918,1990,235000
1079,0,1079,685,1919,Gd,15611,120.0,51,5,8,1079,2006,2006,233230
1097,0,1097,672,1097,TA,10859,112.0,64,5,5,1097,1994,1995,145000
983,660,323,423,1750,TA,12508,75.0,0,7,6,983,1940,1985,160000
483,0,483,288,987,TA,1680,21.0,0,5,6,483,1972,1972,94500
981,282,664,576,981,TA,10530,69.0,312,5,6,981,1971,1971,143250
1700,1018,380,447,1700,Gd,10552,70.0,38,5,5,1398,1959,1959,165500
816,708,108,308,816,TA,7100,73.0,0,7,5,816,1957,1957,129900
944,666,278,622,1840,Gd,12420,79.0,45,5,7,944,2001,2001,230000
1291,837,105,576,2521,TA,3964,42.0,20,4,6,942,1973,1973,151400
1002,828,174,902,1002,TA,8750,69.0,0,6,5,1002,1970,1970,148500
841,0,721,294,841,TA,8400,60.0,0,4,4,721,1950,1950,82000
996,747,189,564,996,Gd,9069,73.0,0,6,6,936,1992,1992,147000
1713,1088,625,856,1713,Ex,9591,76.0,26,5,8,1713,2004,2005,274900
1412,1005,387,576,1412,Gd,11457,130.0,0,5,6,1392,1988,1988,175000
1236,600,312,923,1236,TA,7407,90.0,158,7,6,912,1957,1996,149700
1040,633,431,648,1040,TA,25286,94.0,0,5,4,1064,1963,1963,132250
1616,1180,415,608,1616,Gd,5389,39.0,152,5,8,1595,1995,1996,236500
1414,528,245,601,1414,TA,11029,87.0,51,8,6,1184,1958,2002,176500
975,649,326,576,1950,Gd,7399,66.0,10,5,7,975,1997,1998,239000
1086,320,404,490,1086,TA,10200,85.0,0,7,5,1086,1954,2003,144900
1072,1309,15,528,1576,Gd,21384,144.0,312,6,5,1324,1923,2004,223500
768,619,149,624,768,TA,7244,54.0,0,7,5,768,1970,1970,129500
1381,982,179,676,1381,Gd,9360,78.0,0,7,6,1161,1972,2006,197500
1284,0,1284,647,2169,Gd,9375,69.0,87,5,8,1284,2002,2002,228500
720,0,0,287,720,TA,6627,69.0,0,6,3,0,1949,1950,72500
1584,493,1017,520,2792,TA,10440,60.0,547,7,6,1510,1920,1950,256000
936,0,936,576,936,TA,6000,60.0,32,4,4,936,1953,1953,93000
1181,920,38,588,1181,TA,10012,90.0,0,5,4,1138,1972,1972,137500
1689,0,1689,954,1689,Gd,9849,83.0,56,6,7,1689,2007,2007,248328
948,732,216,280,948,TA,8190,60.0,36,6,4,948,1954,1954,119000
756,420,336,440,1512,Gd,2117,69.0,32,5,6,756,2000,2000,168500
894,492,402,450,894,TA,8724,109.0,0,5,5,894,1968,1968,129000
932,822,78,644,1852,Gd,8640,72.0,108,5,7,900,2009,2009,252678
845,0,0,290,845,TA,11500,69.0,0,3,4,0,1957,1957,84000
774,544,0,0,774,Gd,4270,70.0,0,6,3,544,1931,2006,79000
2053,816,1217,666,3238,Gd,14720,56.0,86,5,8,2033,1995,1996,410000
1232,724,508,632,1232,Gd,7314,64.0,0,5,7,1232,2007,2007,194500
1164,0,1164,528,1164,TA,9600,80.0,0,5,7,1164,1969,1969,140000
912,324,588,160,1248,TA,9439,52.0,0,5,5,912,1930,1950,87000
1687,353,60,572,1687,TA,57200,69.0,0,5,5,747,1948,1950,160000
860,625,235,440,1960,Gd,7851,69.0,48,5,6,860,2002,2002,216500
546,273,0,286,1092,TA,2217,21.0,0,4,4,546,1970,1970,88000
894,552,342,400,894,TA,9450,68.0,0,5,4,894,1954,1954,110000
1479,1013,440,558,1479,Gd,10665,72.0,29,5,7,1453,2003,2003,226000
1060,188,204,270,1060,Gd,8246,69.0,90,8,5,1060,1968,2001,154000
1436,946,490,484,1436,Gd,8450,65.0,98,5,7,1436,2004,2004,210000
1044,0,540,504,1044,Fa,8712,66.0,0,5,5,540,1952,1952,55993
880,390,490,320,1768,TA,10800,60.0,341,7,7,880,1914,1970,163000
816,538,278,432,816,TA,5890,69.0,0,8,6,816,1930,2007,120500
774,250,134,400,1430,TA,7750,69.0,0,5,7,384,2000,2000,180000
1867,379,470,303,1867,TA,10708,69.0,0,5,5,1617,1955,1993,190000
1500,1070,286,648,1500,Gd,4045,53.0,20,5,7,1356,2006,2006,246578
1100,419,375,312,1100,TA,12493,69.0,0,5,4,1100,1960,1960,141000
816,546,270,264,816,TA,8314,76.0,0,7,5,816,1982,1982,124500
1328,967,383,308,1328,TA,16905,115.0,104,6,5,1350,1959,1959,170000
1728,1338,384,842,2296,Ex,13478,97.0,274,5,10,1722,2008,2008,451950
864,167,697,572,864,TA,8172,60.0,0,7,5,864,1955,1990,115000
1266,0,1257,453,1266,Gd,7500,62.0,144,5,7,1257,2005,2005,176000
858,614,244,0,858,TA,8125,69.0,0,4,4,858,1971,1971,88000
832,426,406,506,1710,Gd,9291,76.0,70,5,6,832,1993,1993,187000
772,0,732,264,1123,TA,6060,50.0,0,5,4,732,1939,1950,100000
953,0,953,460,1647,TA,7917,62.0,40,5,6,953,1999,2000,175000
874,510,354,288,874,TA,9858,62.0,0,6,5,864,1968,1968,130000
1788,0,1753,522,1788,Ex,11838,69.0,151,5,8,1753,2001,2001,236500
1839,1186,291,416,1839,Gd,14442,110.0,87,7,6,1477,1957,2004,257500
1088,381,399,484,1868,Gd,10304,69.0,96,7,5,780,1976,1976,197500
1712,528,1098,588,1712,TA,8393,70.0,54,5,5,1626,1959,2005,145000
561,285,276,462,1229,TA,1300,24.0,0,6,6,561,1980,1980,124000
1600,0,1566,890,1600,Gd,14230,110.0,56,5,8,1566,2007,2007,256300
916,0,916,460,1600,TA,8773,57.0,38,5,6,916,1997,1997,169000
896,0,896,240,1344,TA,6240,69.0,114,4,5,896,1936,1950,115000
1126,767,266,540,1126,Ex,15611,69.0,0,6,5,1126,1977,1977,175000
923,658,218,264,923,TA,6951,37.0,0,5,5,876,1984,1985,119500
616,616,0,205,616,TA,6000,50.0,0,7,5,616,1921,1950,89000
1800,0,1800,0,1800,TA,8000,80.0,0,4,5,1800,1961,1961,141000
1505,1024,481,505,1505,TA,12160,128.0,0,4,6,1505,1953,1953,149500
1647,1283,0,621,1647,Gd,12984,80.0,0,6,5,1430,1977,1977,217500
1132,1024,108,451,1132,Gd,7024,60.0,64,5,4,1132,2005,2005,176000
928,821,107,470,1764,Gd,15426,65.0,99,5,6,928,1997,1997,231500
1088,0,0,240,1529,TA,8405,50.0,0,3,4,0,1945,1950,98000
1699,0,804,336,2447,Gd,9638,50.0,0,7,6,804,1919,1990,169000
1504,16,1330,457,1504,Gd,3182,43.0,0,5,7,1346,2005,2006,181000
1163,256,906,220,1163,TA,5820,49.0,98,8,3,1162,1955,2005,126175
769,436,320,440,1525,Gd,2117,69.0,0,5,6,756,2000,2000,177000
935,560,0,288,935,TA,13526,69.0,0,6,5,935,1965,1965,137000
813,0,813,270,813,Gd,5684,70.0,113,8,6,813,1930,2005,110000
1112,603,293,230,2008,Ex,7800,78.0,0,8,5,896,1948,2002,225000
1532,1085,390,514,2329,Gd,11839,86.0,121,5,7,1475,1990,1990,262280
910,420,490,282,1558,TA,13710,75.0,0,5,5,910,1950,1950,152000
832,194,638,528,1664,TA,10140,78.0,28,5,7,832,1976,1976,162900
2110,1065,1045,522,2110,Ex,11160,93.0,0,5,7,2110,1968,1968,244000
905,648,176,684,1786,Gd,9337,69.0,162,5,6,824,1997,1997,204750
925,548,36,336,1475,TA,2665,41.0,26,6,5,757,1977,1977,127000
811,0,811,256,1387,Gd,6000,50.0,0,4,5,811,1954,1954,93000
976,0,976,380,1708,Gd,3363,32.0,40,5,7,976,2004,2004,130000
1085,600,312,440,1734,Gd,9786,77.0,0,7,6,912,1962,1981,159000
1766,664,290,520,2414,TA,10800,60.0,0,4,5,954,1900,1970,160000
933,642,273,493,1908,Gd,8750,70.0,133,5,7,915,1994,1995,210000
1283,504,319,506,1283,TA,7763,70.0,0,7,5,931,1962,1980,140000
1212,0,1212,573,1212,Gd,9100,70.0,0,5,7,1212,2001,2001,178000
952,0,952,672,1548,Ex,7264,55.0,0,7,7,952,1925,2007,205000
980,400,100,384,980,TA,9750,75.0,0,5,5,980,1967,1967,135500
1811,296,230,470,1811,Ex,14115,90.0,0,7,6,1073,1956,2004,230000
1056,1056,0,384,1056,TA,8900,69.0,42,4,4,1056,1966,1966,107000
1234,0,1234,484,1234,Gd,11049,85.0,30,5,8,1234,2007,2007,179900
630,0,630,440,1302,TA,2016,24.0,0,5,5,630,1970,1970,106000
1035,0,319,0,1406,Fa,7920,69.0,144,7,6,319,1920,1950,89500
858,685,173,576,858,TA,7252,69.0,0,5,5,858,1982,1982,134900
1182,998,177,736,2324,Ex,11924,85.0,21,5,9,1175,2005,2006,345000
910,0,105,414,910,Gd,8892,74.0,0,7,5,105,1953,1996,116000
798,674,0,442,1611,TA,9760,80.0,128,6,6,780,1964,1964,167900
684,0,684,400,1560,Gd,11911,122.0,38,5,6,684,2005,2005,174000
2020,0,0,630,2020,TA,8400,60.0,0,5,5,0,1977,1977,144000
1338,616,722,582,1338,Gd,4920,41.0,0,5,8,1338,2001,2001,213500
